label,within_cluster_variance
190,234010169.79739913
191,209259971.27012727
192,208916920.85145393
193,4022125.0768887
194,4173883.0986553347
195,355190054.88948065
196,476791781.40084267
197,503134200.72111267
198,586055877.8589393
199,575428955.6149043
200,354739094.16379136
201,356505884.40258646
202,259685568.5772295
203,260151177.33096322
204,447478246.1805407
205,184400416.58962938
206,184878178.9599377
207,658937454.3639076
208,658753747.7224764
209,8032649.2058605645
210,90794613.62485999
211,289999474.006632
212,441808954.30817556
213,504677943.0264991
214,496766339.1823271
215,614941119.5210342
216,705108399.1551325
217,686057760.5706007
218,8624398.654927172
219,8542283.26134383
220,8109963.449797308
221,8034616.8428591015
222,104119052.94886692
223,442730729.883519
224,357550542.6422736
225,356583323.9537402
226,142120731.73637578
227,143138299.3982167
228,293374553.8307047
229,5256905.317552379
230,324001014.0358095
231,448544706.48650396
232,448955168.27724785
233,531826361.5726677
234,107229778.54157527
235,105532761.28550708
236,441365993.87585515
237,291308842.6402679
238,292037675.1648896
239,421640674.82052284
240,5202927.412395352
241,443445764.1687031
242,444157423.6695067
243,533628297.82360625
244,531029984.5679347
245,251164153.64194688
246,543566320.3175114
247,540774295.5946816
248,446000249.9016047
249,443964526.8117494
250,109746301.29956906
251,108924360.24089554
252,421989014.2237572
253,422375475.5943438
254,5215214.839470989
255,297691143.5824439
256,348691146.7932326
257,295941947.63796806
258,296879180.6070039
259,5431595.968785645
260,5412516.897226778
261,4372860.633677379
262,4228279.326944432
263,281996488.9904896
264,471145327.0809055
265,456257276.7666243
266,5234283.798583867
267,5227957.113823323
268,3514804.662613895
269,88087018.46685512
270,89803248.34768373
271,535099471.0335687
272,314780840.6425652
273,296167220.2564201
274,265284695.11095697
275,3395771.7760237157
276,290454417.7586449
277,292184056.7438498
278,528730708.29774827
279,527731168.7168959
280,534435945.50808454
281,491885683.14138824
282,467974314.30202967
283,102223606.735424
284,534316269.58699757
285,263545324.94325045
286,264459426.3289939
287,370338255.71850914
288,92035015.67543478
289,94822960.61734751
290,324841126.48300856
291,524420266.6841353
292,466014153.49108124
293,465540022.9090233
294,273563624.81587523
295,269758974.4674166
296,234999663.50462922
297,102331866.05194724
298,544592720.3241689
299,539333727.5149876
300,100656840.82243522
301,511953049.08656585
302,507433515.67621535
303,460760237.83313733
304,460284742.5330148
305,449074703.8473717
306,477956726.4683368
307,103034816.96415359
308,103400451.76723208
309,308916170.7595467
310,312146000.8389459
311,344200826.5951802
312,347839319.23237735
313,545091555.5062249
314,99837394.1604615
315,521160970.7997739
316,536555162.03671145
317,527509980.80135745
318,242230159.9206831
319,239041443.42205355
320,3731665.897538148
321,100140961.8217798
322,100352762.35997891
323,521562454.0834853
324,520763806.8824572
325,536705711.0294069
326,518484964.98698235
327,3575737.3789968826
328,545265311.5393342
329,230466517.0842052
330,229824424.27344957
331,141839437.2744724
332,332209746.3237797
333,337012706.8979028
334,530051316.6662212
335,531002736.69688076
336,525612411.9304392
337,527076640.18286675
338,529296411.43456256
339,529689506.29517776
340,538396121.328173
341,538242706.3084633
342,227957782.54997912
343,3646164.714437796
344,539622234.1733855
345,520310803.5003743
346,520019942.9450717
347,495992002.40535855
348,495646668.68788487
349,231930203.1406691
350,231776940.6811285
