cluster_id,n_sats,n_planes,plane_ids,max_plane_sats,max_plane_frac,mean_inc,mean_alt
1658,5,1,[np.int64(66)],5,1.0,53.21966,547.8364896491228
1625,5,1,[np.int64(37)],5,1.0,53.215419999999995,547.838260727855
1746,5,1,[np.int64(56)],5,1.0,53.21652,547.6205948699443
847,5,1,[np.int64(19)],5,1.0,53.217560000000006,547.8532255471874
944,5,1,[np.int64(18)],5,1.0,53.216899999999995,547.8624992622157
949,5,2,"[np.int64(8), np.int64(9)]",4,0.8,53.218219999999995,547.9234598514065
1097,5,1,[np.int64(22)],5,1.0,53.21692,547.7555301838353
1056,5,1,[np.int64(22)],5,1.0,53.072799999999994,541.029179494912
1206,5,1,[np.int64(12)],5,1.0,53.21784,547.8451706527433
1557,5,1,[np.int64(39)],5,1.0,53.21863999999999,547.8850078759283
1539,5,1,[np.int64(53)],5,1.0,53.21476,548.2870025531523
1188,5,1,[np.int64(23)],5,1.0,53.217099999999995,547.7810195536633
1588,5,1,[np.int64(36)],5,1.0,53.215999999999994,547.8953676765793
643,5,1,[np.int64(16)],5,1.0,53.21758,547.8638615517777
1653,5,1,[np.int64(59)],5,1.0,53.21792000000001,547.8136848905917
1623,5,1,[np.int64(67)],5,1.0,53.0552,555.3381988438573
1615,5,1,[np.int64(43)],5,1.0,53.118100000000005,552.8494913599312
1631,5,1,[np.int64(55)],5,1.0,53.21562,547.7494996573687
1616,5,1,[np.int64(43)],5,1.0,53.05274000000001,555.38180966332
1432,5,1,[np.int64(37)],5,1.0,53.05482000000001,555.6183847333429
1271,5,1,[np.int64(30)],5,1.0,53.21698,547.683883298538
1403,5,1,[np.int64(50)],5,1.0,53.08492,553.2551218909018
1409,5,2,"[np.int64(32), np.int64(33)]",4,0.8,53.054559999999995,555.3212662480303
1415,5,1,[np.int64(45)],5,1.0,53.15186,549.8583910280911
1473,5,1,[np.int64(49)],5,1.0,53.05348,555.6880694790154
1499,5,1,[np.int64(49)],5,1.0,53.21424,548.106605611345
1214,5,1,[np.int64(23)],5,1.0,53.21784,547.8462882589404
1268,5,1,[np.int64(29)],5,1.0,53.21656,547.9092194618082
1692,5,1,[np.int64(58)],5,1.0,53.21758,547.8995865315126
1719,5,1,[np.int64(56)],5,1.0,53.053560000000004,555.2462580358581
1707,5,1,[np.int64(67)],5,1.0,53.21974,547.9093345814086
1673,5,1,[np.int64(62)],5,1.0,53.219280000000005,547.8912480717997
556,5,1,[np.int64(70)],5,1.0,53.05592,555.4344437223086
491,5,1,[np.int64(0)],5,1.0,53.21966,547.8072794273739
513,5,1,[np.int64(5)],5,1.0,53.218360000000004,547.8369326145656
466,5,1,[np.int64(1)],5,1.0,53.055780000000006,555.3631370053256
442,4,1,[np.int64(2)],4,1.0,53.21965,547.2103802231658
515,4,1,[np.int64(0)],4,1.0,53.219775,547.8065879737973
1675,4,1,[np.int64(63)],4,1.0,53.2183,547.74852372697
487,4,1,[np.int64(5)],4,1.0,53.21775,547.9228429911867
465,4,1,[np.int64(1)],4,1.0,53.054875,555.3017627380343
589,4,1,[np.int64(17)],4,1.0,53.070775,543.7863738518721
1217,4,1,[np.int64(29)],4,1.0,53.216375,547.8172505204117
1329,4,1,[np.int64(25)],4,1.0,53.217349999999996,547.8306952818494
1358,4,1,[np.int64(31)],4,1.0,53.21725000000001,547.7150315249562
1349,4,1,[np.int64(31)],4,1.0,53.21685,547.7691044556685
1744,4,1,[np.int64(54)],4,1.0,53.217150000000004,547.5823982093556
1256,4,1,[np.int64(29)],4,1.0,53.2183,547.7440678685473
1353,4,1,[np.int64(25)],4,1.0,53.21745,547.9337839316083
1212,4,1,[np.int64(21)],4,1.0,53.218050000000005,548.0083747406163
1682,4,2,"[np.int64(46), np.int64(47)]",3,0.75,53.214925,547.7363241046211
1730,4,1,[np.int64(43)],4,1.0,53.2148,547.8213932610704
1622,4,1,[np.int64(63)],4,1.0,53.054975,555.4214179285927
849,4,1,[np.int64(22)],4,1.0,53.054325,555.5700932637153
407,4,1,[np.int64(6)],4,1.0,53.05565,555.3955473748383
1762,4,1,[np.int64(56)],4,1.0,53.216575000000006,547.8316831625975
1752,4,1,[np.int64(46)],4,1.0,53.21495,547.7731265046785
1559,4,1,[np.int64(46)],4,1.0,53.214375000000004,548.010644710798
1572,4,1,[np.int64(36)],4,1.0,53.174475,549.7606972542674
1578,4,1,[np.int64(42)],4,1.0,53.214,547.9572761747647
1577,4,1,[np.int64(42)],4,1.0,53.21455,547.6052834456724
1590,4,1,[np.int64(41)],4,1.0,53.211825,547.9336491934937
719,4,1,[np.int64(13)],4,1.0,53.2181,547.8624371506339
644,4,1,[np.int64(16)],4,1.0,53.218,547.8315252456174
809,4,1,[np.int64(17)],4,1.0,53.217099999999995,547.785230235701
763,4,1,[np.int64(11)],4,1.0,53.056,555.3190417146668
766,4,1,[np.int64(7)],4,1.0,53.2184,547.8385052459063
768,4,1,[np.int64(20)],4,1.0,53.053275,555.3252567205323
805,4,1,[np.int64(15)],4,1.0,53.054975,555.4483509845688
812,4,1,[np.int64(12)],4,1.0,53.218,547.8757203556855
