N,best_real_cost,optimized_cost,success,label,error
4,5.645349117451118e-07,5.250573001368356e-07,True,1353,
4,1.040671130172904e-06,9.806283618742344e-07,True,1354,
2,1.0568971450550077e-06,1.321457048272615e-07,True,1355,
2,4.950824227282162e-06,6.189877451471879e-07,True,1356,
9,4.922546518640519e-05,4.594434030879625e-05,True,1357,
4,3.764674858366034e-06,3.0763969029832726e-06,True,1358,
4,0.046318032055219144,0.04578612774133172,True,1359,
2,0.060465416083833635,0.007559714878980864,True,1360,
2,6.821911277770978e-08,8.572316105512236e-09,True,1361,
5,1.6276571094646516e-07,1.4442097454443528e-07,True,1362,
2,4.098203296921682e-08,5.1268208850384445e-09,True,1363,
6,9.54725359806883e-07,8.29706334700029e-07,True,1364,
4,5.522716774437327e-07,4.378784176213291e-07,True,1365,
3,1.3231690026276593e-08,3.4582129066856624e-09,True,1366,
2,2.1340919224974844e-07,2.6706479564010022e-08,True,1367,
7,3.3493336169715818e-06,2.321744018092134e-06,True,1368,
2,3.993625998917176e-08,4.995923730146769e-09,True,1369,
9,6.650939163632662e-07,5.508858345770325e-07,True,1370,
2,2.9276510412116777e-07,3.671069396461806e-08,True,1371,
8,2.298192225365068e-06,2.218573855391297e-06,True,1372,
2,4.30186223161123,0.5378247277619881,True,1373,
5,3.3511934465578096e-07,2.0837743285705575e-07,True,1374,
5,3.058428582622751e-07,2.5307291086630474e-07,True,1375,
7,1.7118944711884748e-06,1.7055647492993564e-06,True,1376,
3,1.696874367791261e-08,3.057665350133103e-09,True,1377,
4,1.9685555105607233e-08,1.3706602443867169e-08,True,1378,
4,4.0807729811994635e-08,3.235029276598012e-08,True,1379,
6,2.59424720118274e-08,1.851850837515843e-08,True,1380,
6,4.0196399860261437e-07,3.872491862821693e-07,True,1381,
3,1.8268412352792678e-08,9.209034385591056e-09,True,1382,
3,0.6200746632741708,0.169072595042283,True,1383,
5,0.6376577735414302,0.5039799584714351,True,1384,
3,1.0636899143493248e-08,3.162143815424721e-09,True,1385,
4,1.3085637285214127e-08,9.93096992250587e-09,True,1386,
2,1.0202966628812162e-07,1.283379611173599e-08,True,1387,
5,1.1132666829694875e-08,3.8191077028295844e-09,True,1388,
5,3.666121684513534e-08,3.210763176064172e-08,True,1389,
6,3.5284942584808667,3.2853568692302333,True,1390,
5,3.4814001033446016e-08,2.37628092312545e-08,True,1391,
2,9.600724021280204e-08,1.2058499807159347e-08,True,1392,
7,6.425021404588064e-06,4.686751373327532e-06,True,1393,
4,2.6355721237101815,2.3156996248697332,True,1394,
5,6.255852017219912e-07,5.403253489507894e-07,True,1395,
9,3.947790012660699e-06,3.176923154846423e-06,True,1396,
7,4.338880215398904e-06,3.6223806590357423e-06,True,1397,
3,0.07342468178380072,0.019431678191003294,True,1398,
5,0.5962433631490738,0.514426372933985,True,1399,
4,0.010065817147924167,0.007336543034256109,True,1400,
8,0.01794730922967039,0.009099558056870415,True,1401,
4,0.007492803465278269,0.0019113462052814472,True,1402,
6,0.013300361469081742,0.00740777456313181,True,1403,
8,0.00011485528875528116,9.844936985252214e-05,True,1404,
4,5.710629258484143e-06,3.849001461789748e-06,True,1405,
3,0.0015676405395462657,0.0003128484098715363,True,1406,
5,0.004291914317554537,0.002973109194880156,True,1407,
5,0.03235067402231929,0.0073817567060528635,True,1408,
5,0.0005323093350125612,0.0002109681615929117,True,1409,
3,0.012331330441330687,0.002224127139330355,True,1410,
11,0.00022638754510067923,0.00021273646123487683,True,1411,
5,0.003331429084628809,0.0009881774955026981,True,1412,
3,0.10754762125472145,0.0303196417547628,True,1413,
11,0.008745421316249119,0.00844453729142542,True,1414,
5,0.04196375276047516,0.015039005329826651,True,1415,
3,7.915465341958115e-07,1.619191273811083e-07,True,1416,
2,0.03257173586671049,0.0040715899168157765,True,1417,
5,0.15908999522594927,0.15176357774840582,True,1418,
8,0.026915674520858857,0.017132542684193043,True,1419,
8,0.0008568983642180303,0.0004399497959020436,True,1420,
3,1.4118849862234135e-07,8.967502811298505e-08,True,1421,
3,0.0017586190007877576,0.00033341846319807884,True,1422,
5,0.0005281847932189942,0.00034165421234343926,True,1423,
3,0.0029708683854393777,0.0005882364749589161,True,1424,
4,0.009971688046835295,0.004407253885868575,True,1425,
4,0.0013900129136088998,0.0008222211055776922,True,1426,
10,0.007035643742828062,0.0068696456777275735,True,1427,
6,0.00043952549693453396,0.0002971075279507806,True,1428,
2,0.37036304949337523,0.04630104142046445,True,1429,
