"cluster_id","stability"
385,0.0130208333333333
386,0.0219642857142857
387,0
388,0
389,0
390,0.00388888888888889
391,0.004
392,0.01
393,0.0111111111111111
394,0.0208333333333333
395,0.00666666666666667
396,0
397,0.018
398,0.00858585858585859
399,0.00111111111111111
400,0
401,0.02
402,0
403,0
404,0
405,0
406,0.00571428571428571
407,0
408,0.005
409,0
410,0.01
411,0
412,0
413,0.002
414,0
415,0.010752688172043
416,0
417,0
418,0
419,0.00505050505050505
420,0
421,0.01
422,0.00387596899224806
423,0
424,0
425,0.01
426,0.00680272108843538
427,0.00833333333333333
428,0.00875
429,0.000833333333333333
430,0.00651041666666667
431,0.0103092783505155
432,0.00285714285714286
433,0.0275
434,0
435,0
436,0
437,0
438,0.00222222222222222
439,0.00444444444444444
440,0
441,0.003
442,0.0101010101010101
443,0.00340136054421768
444,0.0108333333333333
445,0.0180050505050505
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0.01
456,0
457,0
458,0
459,0
460,0
461,0.00333333333333333
462,0
463,0
464,0
465,0
466,0.0212121212121212
467,0
468,0
469,0
470,0
471,0
472,0.02
473,0
474,0
475,0.0118326118326118
476,0
477,0
478,0
479,0.005
480,0.0102040816326531
481,0.01
482,0.0148809523809524
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0.01
492,0
493,0
494,0
495,0
496,0.00666666666666667
497,0
