Cluster ID,Tier,Size,Min Altitude (km),Max Altitude (km),Mean Density
1620,Minor,12,483.1140338187702,555.7875588724846,4.981249493207661e-11
1778,Minor,12,482.8047164034825,483.3121763439588,4.2072126668108736e-11
342,Minor,12,557.5406345280921,572.9190803262377,2.0141083253533083e-11
1233,Minor,12,455.2623437982686,547.9767475714498,3.12517368657703e-11
445,Minor,12,512.0891528591169,533.7888433861547,4.4684500957197896e-11
152,Minor,11,521.8055753444954,684.2813820654983,5.822867944030381e-12
90,Minor,11,557.6312017523302,558.634372395318,1.1610552395951815e-11
934,Minor,11,490.5994468135424,567.2436095741568,3.0732780357163375e-11
765,Minor,11,547.6340637662429,548.0298804186741,3.657324004724822e-11
1338,Minor,11,490.2903912682878,492.21613230499065,4.7515306093130086e-11
1739,Minor,11,547.7788194784597,555.8179157583909,5.5519550547915046e-11
92,Minor,11,556.9296935035204,557.567711184279,1.854170034141396e-11
102,Minor,11,580.1555870326115,582.3327818458099,5.9987854045751056e-12
1209,Minor,11,483.17485334878603,483.5636482564118,3.038094543607392e-11
883,Minor,11,490.7951499722991,492.03025667546035,3.331876702717082e-11
1411,Minor,11,483.02431876810175,483.64445688601955,3.877220830405727e-11
1144,Minor,11,566.8455420436841,567.306549529817,4.528115434421209e-11
65,Minor,11,446.18442567155694,686.4722212172682,4.837730164979924e-12
1414,Minor,11,547.1523739242768,555.3662025843561,5.701484896254521e-11
1450,Minor,11,483.4122240475742,548.2653396249609,4.218500703862493e-11
200,Minor,11,580.8651259432733,581.5757281473893,4.0636933385831356e-12
554,Minor,11,566.8325662696614,567.2874887367441,4.7902324506328486e-11
646,Minor,11,483.00335559729115,483.5134543814566,3.5992712427450633e-11
163,Minor,11,440.59317649507244,694.1709925831333,8.444038106146776e-12
899,Minor,11,367.40579072809777,423.6067965556765,4.612555815482676e-11
128,Minor,11,522.3734762467155,697.6929033355639,5.435849530831988e-12
184,Minor,11,412.37280292105487,646.7154846454067,1.7292686371546417e-11
1562,Minor,11,482.68551164958717,483.35294918083304,3.553532703003435e-11
